date;precip_mm;temp_min;temp_max;temp_avg;humidity_avg;pressure_avg;wind_speed;solar_radiation;station_id;codigo_ibge;municipio;lat;lon;altitude;precip_tomorrow;rain_tomorrow;precip_lag_1d;precip_lag_2d;precip_sum_3d;precip_sum_7d;rain_days_7d;pressure_change_24h;dry_days;temp_avg_3d;humidity_avg_3d;day_of_year_sin;day_of_year_cos
2026-01-07;0,4;22,3;32,9;25,679;74,5;1008,3;3,021;20,19;A802;4315602;Rio Grande;-32,079;-52,168;4,92;3,0;1;0,0;0,0;0,4;0,4;0,0;-3,938;7,0;22,089;69,361;0,12;0,993
2026-01-08;3,0;20,5;23,9;21,73;84,087;1012,657;2,557;6,79;A802;4315602;Rio Grande;-32,079;-52,168;4,92;0,0;0;0,4;0,0;3,4;3,4;1,0;4,357;0,0;23,475;74,21;0,137;0,991
2026-01-09;0,0;21,1;23,6;22,304;83,875;1013,554;4,592;6,67;A802;4315602;Rio Grande;-32,079;-52,168;4,92;13,4;1;3,0;0,4;3,4;3,4;1,0;0,898;1,0;23,238;80,821;0,154;0,988
2026-01-10;13,4;21,7;31,9;25,642;80,917;1004,938;4,342;24,07;A802;4315602;Rio Grande;-32,079;-52,168;4,92;0,4;0;0,0;3,0;16,4;16,8;2,0;-8,617;0,0;23,225;82,96;0,171;0,985
2026-01-11;0,4;18,2;27,1;22,746;78,542;1003,129;3,6;24,38;A802;4315602;Rio Grande;-32,079;-52,168;4,92;10,2;1;13,4;0,0;13,8;17,2;2,0;-1,808;1,0;23,564;81,111;0,188;0,982
2026-01-12;10,2;18,7;24,7;21,704;90,833;1007,412;1,367;12,54;A802;4315602;Rio Grande;-32,079;-52,168;4,92;0,0;0;0,4;13,4;24,0;27,4;3,0;4,283;0,0;23,364;83,431;0,205;0,979
2026-01-13;0,0;18,5;29,2;23,642;84,708;1008,933;1,312;21,67;A802;4315602;Rio Grande;-32,079;-52,168;4,92;0,0;0;10,2;0,4;10,6;27,4;3,0;1,521;1,0;22,697;84,694;0,222;0,975
2026-01-14;0,0;21,4;30,2;25,412;85,458;1009,562;1,917;22,26;A802;4315602;Rio Grande;-32,079;-52,168;4,92;0,0;0;0,0;10,2;10,2;27,0;3,0;0,629;2,0;23,586;87,0;0,239;0,971
2026-01-15;0,0;24,4;33,8;28,25;79,125;1007,938;2,971;29,74;A802;4315602;Rio Grande;-32,079;-52,168;4,92;7,2;1;0,0;0,0;0,0;24,0;2,0;-1,625;3,0;25,768;83,097;0,255;0,967
2026-01-16;7,2;21,9;28,9;25,958;85,5;1008,654;2,592;8,67;A802;4315602;Rio Grande;-32,079;-52,168;4,92;0,0;0;0,0;0,0;7,2;31,2;3,0;0,717;0,0;26,54;83,361;0,272;0,962
2026-01-17;0,0;18,7;28,0;23,838;81,583;1009,408;1,963;31,4;A802;4315602;Rio Grande;-32,079;-52,168;4,92;0,0;0;7,2;0,0;7,2;17,8;2,0;0,754;1,0;26,015;82,069;0,288;0,958
2026-01-18;0,0;19,5;28,6;24,088;78,708;1006,925;2,425;27,43;A802;4315602;Rio Grande;-32,079;-52,168;4,92;0,0;0;0,0;7,2;7,2;17,4;2,0;-2,483;2,0;24,628;81,931;0,305;0,952
2026-01-19;0,0;17,9;24,9;21,648;54,0;1014,43;2,887;27,71;A802;4315602;Rio Grande;-32,079;-52,168;4,92;6,4;1;0,0;0,0;0,0;7,2;1,0;7,505;3,0;23,191;71,431;0,321;0,947
2026-01-20;6,4;16,5;22,8;20,142;68,792;1015,229;1,829;10,77;A802;4315602;Rio Grande;-32,079;-52,168;4,92;0,0;0;0,0;0,0;6,4;13,6;2,0;0,799;0,0;21,959;67,167;0,337;0,941
2026-01-21;0,0;14,3;25,6;21,279;63,125;1015,204;2,717;30,79;A802;4315602;Rio Grande;-32,079;-52,168;4,92;0,4;0;6,4;0,0;6,4;13,6;2,0;-0,025;1,0;21,023;61,972;0,353;0,935
2026-01-22;0,4;19,5;26,7;22,946;69,917;1014,942;4,517;27,84;A802;4315602;Rio Grande;-32,079;-52,168;4,92;0,0;0;0,0;6,4;6,8;14,0;2,0;-0,263;2,0;21,456;67,278;0,369;0,929
2026-01-23;0,0;18,0;26,4;23,004;66,667;1015,558;4,179;27,75;A802;4315602;Rio Grande;-32,079;-52,168;4,92;0,0;0;0,4;0,0;0,4;6,8;1,0;0,617;3,0;22,41;66,569;0,385;0,923
2026-01-24;0,0;16,9;27,2;23,292;68,25;1014,546;3,883;29,79;A802;4315602;Rio Grande;-32,079;-52,168;4,92;0,0;0;0,0;0,4;0,4;6,8;1,0;-1,013;4,0;23,081;68,278;0,401;0,916
2026-01-25;0,0;21,8;28,5;24,346;78,5;1014,283;4,788;28,48;A802;4315602;Rio Grande;-32,079;-52,168;4,92;0,0;0;0,0;0,0;0,0;6,8;1,0;-0,262;5,0;23,547;71,139;0,417;0,909
2026-01-26;0,0;21,8;29,2;24,946;78,5;1013,396;4,633;28,09;A802;4315602;Rio Grande;-32,079;-52,168;4,92;0,0;0;0,0;0,0;0,0;6,8;1,0;-0,887;6,0;24,194;75,083;0,432;0,902
2026-01-27;0,0;22,8;30,1;25,571;83,333;1011,725;3,467;28,61;A802;4315602;Rio Grande;-32,079;-52,168;4,92;0,0;0;0,0;0,0;0,0;0,4;0,0;-1,671;7,0;24,954;80,111;0,448;0,894
2026-01-28;0,0;22,6;29,8;25,642;87,083;1010,871;2,846;28,15;A802;4315602;Rio Grande;-32,079;-52,168;4,92;0,0;0;0,0;0,0;0,0;0,4;0,0;-0,854;8,0;25,386;82,972;0,463;0,886
2026-01-29;0,0;24,6;29,6;26,171;84,875;1010,767;2,742;22,75;A802;4315602;Rio Grande;-32,079;-52,168;4,92;0,2;0;0,0;0,0;0,0;0,0;0,0;-0,104;9,0;25,794;85,097;0,478;0,878
2026-01-30;0,2;23,1;29,1;25,171;78,25;1010,05;2,721;24,37;A802;4315602;Rio Grande;-32,079;-52,168;4,92;7,0;1;0,0;0,0;0,2;0,2;0,0;-0,717;10,0;25,661;83,403;0,493;0,87
2026-01-31;7,0;20,3;27,7;23,787;75,833;1006,783;2,675;22,74;A802;4315602;Rio Grande;-32,079;-52,168;4,92;14,2;1;0,2;0,0;7,2;7,2;1,0;-3,267;0,0;25,043;79,653;0,508;0,861
2026-02-01;14,2;18,8;25,9;21,775;86,875;1002,925;2,85;16,18;A802;4315602;Rio Grande;-32,079;-52,168;4,92;0,0;0;7,0;0,2;21,4;21,4;2,0;-3,858;0,0;23,578;80,319;0,523;0,852
2026-02-02;0,0;17,0;28,5;22,946;79,542;1005,346;2,25;28,01;A802;4315602;Rio Grande;-32,079;-52,168;4,92;0,0;0;14,2;7,0;21,2;21,4;2,0;2,421;1,0;22,836;80,75;0,538;0,843
2026-02-03;0,0;22,8;33,2;26,442;74,875;1004,788;3,275;30,28;A802;4315602;Rio Grande;-32,079;-52,168;4,92;0,0;0;0,0;14,2;14,2;21,4;2,0;-0,558;2,0;23,721;80,431;0,552;0,834
2026-02-04;0,0;22,2;32,8;27,196;70,958;1006,717;2,896;29,13;A802;4315602;Rio Grande;-32,079;-52,168;4,92;0,0;0;0,0;0,0;0,0;21,4;2,0;1,929;3,0;25,528;75,125;0,566;0,824
2026-02-05;0,0;24,4;33,3;27,321;76,917;1008,688;3,475;29,34;A802;4315602;Rio Grande;-32,079;-52,168;4,92;0,0;0;0,0;0,0;0,0;21,4;2,0;1,971;4,0;26,986;74,25;0,58;0,814
2026-02-06;0,0;23,0;29,8;25,675;80,542;1008,471;3,421;12,14;A802;4315602;Rio Grande;-32,079;-52,168;4,92;0,0;0;0,0;0,0;0,0;21,2;2,0;-0,217;5,0;26,731;76,139;0,594;0,804
2026-02-07;0,0;18,2;27,9;23,508;62,042;1012,454;1,942;29,99;A802;4315602;Rio Grande;-32,079;-52,168;4,92;0,0;0;0,0;0,0;0,0;14,2;1,0;3,983;6,0;25,501;73,167;0,608;0,794
2026-02-08;0,0;15,0;28,1;22,738;70,792;1012,967;2,471;30,37;A802;4315602;Rio Grande;-32,079;-52,168;4,92;0,0;0;0,0;0,0;0,0;0,0;0,0;0,512;7,0;23,974;71,125;0,622;0,783
2026-02-09;0,0;21,5;29,0;24,646;66,833;1010,317;4,454;23,86;A802;4315602;Rio Grande;-32,079;-52,168;4,92;0,0;0;0,0;0,0;0,0;0,0;0,0;-2,65;8,0;23,631;66,556;0,635;0,772
2026-02-10;0,0;23,7;32,9;26,988;76,792;1006,15;3,625;25,8;A802;4315602;Rio Grande;-32,079;-52,168;4,92;0,0;0;0,0;0,0;0,0;0,0;0,0;-4,167;9,0;24,79;71,472;0,648;0,761
2026-02-11;0,0;25,3;38,6;30,296;65,375;1004,35;3,442;26,57;A802;4315602;Rio Grande;-32,079;-52,168;4,92;38,1;1;0,0;0,0;0,0;0,0;0,0;-1,8;10,0;27,31;69,667;0,661;0,75
2026-02-12;38,1;20,1;30,7;24,942;87,333;1007,808;2,4;3,82;A802;4315602;Rio Grande;-32,079;-52,168;4,92;0,0;0;0,0;0,0;38,1;38,1;1,0;3,458;0,0;27,408;76,5;0,674;0,739
2026-02-13;0,0;19,2;28,4;22,888;84,375;1012,1;2,812;21,53;A802;4315602;Rio Grande;-32,079;-52,168;4,92;0,0;0;38,1;0,0;38,1;38,1;1,0;4,292;1,0;26,042;79,028;0,687;0,727
2026-02-14;0,0;21,1;26,4;23,392;63,833;1017,054;2,871;27,77;A802;4315602;Rio Grande;-32,079;-52,168;4,92;0,0;0;0,0;38,1;38,1;38,1;1,0;4,954;2,0;23,74;78,514;0,699;0,715
2026-02-15;0,0;21,6;29,9;24,646;73,125;1012,546;4,408;18,74;A802;4315602;Rio Grande;-32,079;-52,168;4,92;3,8;1;0,0;0,0;0,0;38,1;1,0;-4,508;3,0;23,642;73,778;0,711;0,703
2026-02-16;3,8;23,0;30,7;26,079;82,833;1008,679;2,85;24,4;A802;4315602;Rio Grande;-32,079;-52,168;4,92;0,0;0;0,0;0,0;3,8;41,9;2,0;-3,867;0,0;24,706;73,264;0,723;0,691
2026-02-17;0,0;19,8;30,2;23,708;84,208;1009,512;1,562;22,89;A802;4315602;Rio Grande;-32,079;-52,168;4,92;0,0;0;3,8;0,0;3,8;41,9;2,0;0,833;1,0;24,811;80,056;0,735;0,678
2026-02-18;0,0;18,6;28,5;23,638;82,125;1009,971;1,888;29,59;A802;4315602;Rio Grande;-32,079;-52,168;4,92;0,0;0;0,0;3,8;3,8;41,9;2,0;0,458;2,0;24,475;83,056;0,747;0,665
2026-02-19;0,0;22,4;29,1;24,946;73,542;1008,092;2,675;17,8;A802;4315602;Rio Grande;-32,079;-52,168;4,92;2,8;1;0,0;0,0;0,0;3,8;1,0;-1,879;3,0;24,097;79,958;0,758;0,652
2026-02-20;2,8;20,4;28,6;24,354;77,917;1009,358;2,075;23,7;A802;4315602;Rio Grande;-32,079;-52,168;4,92;0,4;0;0,0;0,0;2,8;6,6;2,0;1,267;0,0;24,312;77,861;0,769;0,639
2026-02-21;0,4;18,2;28,0;22,208;84,174;1013,312;1,875;20,22;A802;4315602;Rio Grande;-32,079;-52,168;4,92;0,2;0;2,8;0,0;3,2;7,0;2,0;3,954;1,0;23,836;78,544;0,78;0,626
2026-02-22;0,2;22,2;28,3;24,729;74,25;1014,412;4,679;21,51;A802;4315602;Rio Grande;-32,079;-52,168;4,92;0,0;0;0,4;2,8;3,4;7,2;2,0;1,1;2,0;23,764;78,78;0,791;0,612
2026-02-23;0,0;22,2;28,9;24,883;76,333;1011,129;5,342;21,46;A802;4315602;Rio Grande;-32,079;-52,168;4,92;7,4;1;0,2;0,4;0,6;3,4;1,0;-3,283;3,0;23,94;78,252;0,801;0,599
2026-02-24;7,4;22,2;26,1;23,946;86,708;1005,462;4,479;7,67;A802;4315602;Rio Grande;-32,079;-52,168;4,92;0,2;0;0,0;0,2;7,6;10,8;2,0;-5,667;0,0;24,519;79,097;0,811;0,585
2026-02-25;0,2;19,6;25,6;22,796;82,125;1004,8;3,996;21,92;A802;4315602;Rio Grande;-32,079;-52,168;4,92;0,0;0;7,4;0,0;7,6;11,0;2,0;-0,662;1,0;23,875;81,722;0,821;0,571
2026-02-26;0,0;12,6;23,9;18,658;69,458;1008,538;2,492;20,76;A802;4315602;Rio Grande;-32,079;-52,168;4,92;0,0;0;0,2;7,4;7,6;11,0;2,0;3,737;2,0;21,8;79,431;0,831;0,557
2026-02-27;0,0;11,8;25,5;18,321;73,75;1010,258;1,875;27,92;A802;4315602;Rio Grande;-32,079;-52,168;4,92;0,0;0;0,0;0,2;0,2;8,2;1,0;1,721;3,0;19,925;75,111;0,84;0,542
2026-02-28;0,0;15,2;26,8;21,871;66,333;1011,346;2,554;19,75;A802;4315602;Rio Grande;-32,079;-52,168;4,92;0,0;0;0,0;0,0;0,0;7,8;1,0;1,087;4,0;19,617;69,847;0,849;0,528
2026-03-01;0,0;20,2;26,6;23,267;64,417;1012,242;3,238;26,09;A802;4315602;Rio Grande;-32,079;-52,168;4,92;0,0;0;0,0;0,0;0,0;7,6;1,0;0,896;5,0;21,153;68,167;0,858;0,513
2026-03-02;0,0;21,0;28,3;23,95;60,708;1010,067;4,604;22,96;A802;4315602;Rio Grande;-32,079;-52,168;4,92;0,0;0;0,0;0,0;0,0;7,6;1,0;-2,175;6,0;23,029;63,819;0,867;0,498
2026-03-03;0,0;21,6;29,3;24,683;72,333;1008,846;4,746;26,27;A802;4315602;Rio Grande;-32,079;-52,168;4,92;1,6;1;0,0;0,0;0,0;0,2;0,0;-1,221;7,0;23,967;65,819;0,876;0,483
2026-03-04;1,6;22,2;28,9;24,329;80,25;1009,096;3,971;14,68;A802;4315602;Rio Grande;-32,079;-52,168;4,92;0,0;0;0,0;0,0;1,6;1,6;1,0;0,25;0,0;24,321;71,097;0,884;0,468
2026-03-05;0,0;22,1;27,4;24,162;83,292;1011,604;2,462;12,57;A802;4315602;Rio Grande;-32,079;-52,168;4,92;0,0;0;1,6;0,0;1,6;1,6;1,0;2,508;1,0;24,392;78,625;0,892;0,453
2026-03-06;0,0;22,6;27,7;24,4;84,0;1011,804;3,242;20,29;A802;4315602;Rio Grande;-32,079;-52,168;4,92;40,6;1;0,0;1,6;1,6;1,6;1,0;0,2;2,0;24,297;82,514;0,899;0,437
2026-03-07;40,6;20,6;24,9;22,717;89,917;1007,512;2,646;10,8;A802;4315602;Rio Grande;-32,079;-52,168;4,92;0,2;0;0,0;0,0;40,6;42,2;2,0;-4,292;0,0;23,76;85,736;0,907;0,422
2026-03-08;0,2;20,7;25,5;22,787;69,542;1011,921;2,792;22,36;A802;4315602;Rio Grande;-32,079;-52,168;4,92;0,0;0;40,6;0,0;40,8;42,4;2,0;4,408;1,0;23,301;81,153;0,914;0,406
2026-03-09;0,0;18,2;25,1;21,688;62,542;1016,117;2,808;15,11;A802;4315602;Rio Grande;-32,079;-52,168;4,92;5,0;1;0,2;40,6;40,8;42,4;2,0;4,196;2,0;22,397;74,0;0,921;0,39
2026-03-10;5,0;19,5;22,2;21,1;78,417;1016,2;4,092;5,18;A802;4315602;Rio Grande;-32,079;-52,168;4,92;8,2;1;0,0;0,2;5,2;47,4;3,0;0,083;0,0;21,858;70,167;0,927;0,374
2026-03-11;8,2;19,5;24,8;21,704;89,083;1012,942;4,021;11,38;A802;4315602;Rio Grande;-32,079;-52,168;4,92;1,4;1;5,0;0,0;13,2;54,0;3,0;-3,258;0,0;21,497;76,681;0,934;0,358
2026-03-12;1,4;19,8;26,5;22,608;82,125;1010,954;3,346;22,16;A802;4315602;Rio Grande;-32,079;-52,168;4,92;0,4;0;8,2;5,0;14,6;55,4;4,0;-1,987;0,0;21,804;83,208;0,94;0,342
2026-03-13;0,4;16,5;26,6;21,596;83,708;1008,788;1,729;21,43;A802;4315602;Rio Grande;-32,079;-52,168;4,92;0,4;0;1,4;8,2;10,0;55,8;4,0;-2,167;1,0;21,969;84,972;0,945;0,326
2026-03-14;0,4;16,8;27,6;21,275;87,125;1006,617;1,717;19,38;A802;4315602;Rio Grande;-32,079;-52,168;4,92;0,0;0;0,4;1,4;2,2;15,6;3,0;-2,171;2,0;21,826;84,319;0,951;0,31
2026-03-15;0,0;17,8;28,2;22,242;85,917;1006,05;1,817;24,57;A802;4315602;Rio Grande;-32,079;-52,168;4,92;0,0;0;0,4;0,4;0,8;15,4;3,0;-0,567;3,0;21,704;85,583;0,956;0,293
2026-03-16;0,0;22,0;29,9;24,654;86,5;1008,133;3,829;22,48;A802;4315602;Rio Grande;-32,079;-52,168;4,92;0,8;0;0,0;0,4;0,4;15,4;3,0;2,083;4,0;22,724;86,514;0,961;0,277
2026-03-17;0,8;24,2;27,1;25,262;90,042;1007,917;3,592;5,76;A802;4315602;Rio Grande;-32,079;-52,168;4,92;0,0;0;0,0;0,0;0,8;11,2;2,0;-0,217;5,0;24,053;87,486;0,966;0,26
2026-03-18;0,0;22,4;29,2;25,242;88,167;1007,122;2,729;13,52;A802;4315602;Rio Grande;-32,079;-52,168;4,92;0,0;0;0,8;0,0;0,8;3,0;1,0;-0,795;6,0;25,053;88,236;0,97;0,244
2026-03-19;0,0;19,8;28,0;23,588;86,208;1008,167;1,983;21,81;A802;4315602;Rio Grande;-32,079;-52,168;4,92;0,4;0;0,0;0,8;0,8;1,6;0,0;1,045;7,0;24,697;88,139;0,974;0,227
2026-03-20;0,4;21,5;27,5;24,221;83,042;1007,938;3,55;23,02;A802;4315602;Rio Grande;-32,079;-52,168;4,92;6,4;1;0,0;0,0;0,4;1,6;0,0;-0,229;8,0;24,35;85,806;0,978;0,21
2026-03-21;6,4;22,5;29,3;25,008;80,0;1004,854;4,917;15,08;A802;4315602;Rio Grande;-32,079;-52,168;4,92;0,0;0;0,4;0,0;6,8;7,6;1,0;-3,083;0,0;24,272;83,083;0,981;0,193
2026-03-22;0,0;18,8;25,2;22,733;83,5;1007,758;2,638;19,64;A802;4315602;Rio Grande;-32,079;-52,168;4,92;15,0;1;6,4;0,4;6,8;7,6;1,0;2,904;1,0;23,988;82,181;0,984;0,176
2026-03-23;15,0;20,4;26,1;23,258;88,708;1006,317;3,113;3,72;A802;4315602;Rio Grande;-32,079;-52,168;4,92;0,8;0;0,0;6,4;21,4;22,6;2,0;-1,442;0,0;23,667;84,069;0,987;0,16
2026-03-24;0,8;15,9;24,7;20,525;76,917;1007,958;2,583;24,14;A802;4315602;Rio Grande;-32,079;-52,168;4,92;0,0;0;15,0;0,0;15,8;22,6;2,0;1,642;1,0;22,172;83,042;0,99;0,143
2026-03-25;0,0;12,5;24,9;18,167;84,125;1012,304;1,383;13,2;A802;4315602;Rio Grande;-32,079;-52,168;4,92;0,0;0;0,8;15,0;15,8;22,6;2,0;4,346;2,0;20,65;83,25;0,992;0,125
2026-03-26;0,0;19,9;25,3;22,142;86,125;1013,708;1,833;10,18;A802;4315602;Rio Grande;-32,079;-52,168;4,92;0,0;0;0,0;0,8;0,8;22,6;2,0;1,404;3,0;20,278;82,389;0,994;0,108
2026-03-27;0,0;22,7;30,1;25,321;89,0;1013,154;2,404;19,56;A802;4315602;Rio Grande;-32,079;-52,168;4,92;0,0;0;0,0;0,0;0,0;22,2;2,0;-0,554;4,0;21,876;86,417;0,996;0,091
